# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=/REF/ATLAS_2014_I1319490_EL/d25-x01-y02 /LHC.yoda/ATLAS_2014_I1319490_EL/d25-x01-y02 /THY/ATLAS_2014_I1319490_EL/d25-x01-y02
Title=electron channel, dressed level
RatioPlotReference=/REF/ATLAS_2014_I1319490_EL/d25-x01-y02
RatioPlot=1
LogY=1
LegendXPos=0.1
XLabel=$\Delta R_{j1,j2}$
MainPlot=1
YLabel=$\text{d}\sigma_{W + \geq 2j} / \text{d}\Delta R_{j1,j2}$
YTwosidedTicks=1
LegendYPos=0.3
Legend=1
RatioPlotYMin=1
LeftMargin=1.5
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_EL/d25-x01-y02
IsRef=1
LineColor=green
Path=/REF/ATLAS_2014_I1319490_EL/d25-x01-y02
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
4.000000e-01	6.000000e-01	7.667000e+00	1.598120e+00	1.598120e+00
6.000000e-01	8.000000e-01	9.402000e+00	1.721389e+00	1.721389e+00
8.000000e-01	1.000000e+00	8.657000e+00	1.135642e+00	1.135642e+00
1.000000e+00	1.200000e+00	8.285000e+00	1.145358e+00	1.145358e+00
1.200000e+00	1.400000e+00	9.150000e+00	1.264466e+00	1.264466e+00
1.400000e+00	1.600000e+00	9.846000e+00	1.504728e+00	1.504728e+00
1.600000e+00	1.800000e+00	1.249000e+01	1.737671e+00	1.737671e+00
1.800000e+00	2.000000e+00	1.490000e+01	1.843068e+00	1.843068e+00
2.000000e+00	2.200000e+00	1.863000e+01	2.205130e+00	2.205130e+00
2.200000e+00	2.400000e+00	2.430000e+01	2.734045e+00	2.734045e+00
2.400000e+00	2.600000e+00	3.222000e+01	3.636358e+00	3.636358e+00
2.600000e+00	2.800000e+00	4.328000e+01	4.215507e+00	4.215507e+00
2.800000e+00	3.000000e+00	5.677000e+01	5.166508e+00	5.166508e+00
3.000000e+00	3.200000e+00	6.900000e+01	5.770693e+00	5.770693e+00
3.200000e+00	3.400000e+00	4.736000e+01	4.218542e+00	4.218542e+00
3.400000e+00	3.600000e+00	3.409000e+01	3.149333e+00	3.149333e+00
3.600000e+00	3.800000e+00	2.613000e+01	2.645052e+00	2.645052e+00
3.800000e+00	4.000000e+00	1.967000e+01	2.052462e+00	2.052462e+00
4.000000e+00	4.400000e+00	1.356000e+01	1.594208e+00	1.594208e+00
4.400000e+00	4.800000e+00	7.691000e+00	1.101242e+00	1.101242e+00
4.800000e+00	5.600000e+00	3.437000e+00	6.343367e-01	6.343367e-01
5.600000e+00	6.600000e+00	7.723000e-01	2.623595e-01	2.623595e-01
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_EL/d25-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2014_I1319490_EL/d25-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
4.000000e-01	6.000000e-01	7.667000e+00	1.598120e+00	1.598120e+00
6.000000e-01	8.000000e-01	9.402000e+00	1.721389e+00	1.721389e+00
8.000000e-01	1.000000e+00	8.657000e+00	1.135642e+00	1.135642e+00
1.000000e+00	1.200000e+00	8.285000e+00	1.145358e+00	1.145358e+00
1.200000e+00	1.400000e+00	9.150000e+00	1.264466e+00	1.264466e+00
1.400000e+00	1.600000e+00	9.846000e+00	1.504728e+00	1.504728e+00
1.600000e+00	1.800000e+00	1.249000e+01	1.737671e+00	1.737671e+00
1.800000e+00	2.000000e+00	1.490000e+01	1.843068e+00	1.843068e+00
2.000000e+00	2.200000e+00	1.863000e+01	2.205130e+00	2.205130e+00
2.200000e+00	2.400000e+00	2.430000e+01	2.734045e+00	2.734045e+00
2.400000e+00	2.600000e+00	3.222000e+01	3.636358e+00	3.636358e+00
2.600000e+00	2.800000e+00	4.328000e+01	4.215507e+00	4.215507e+00
2.800000e+00	3.000000e+00	5.677000e+01	5.166508e+00	5.166508e+00
3.000000e+00	3.200000e+00	6.900000e+01	5.770693e+00	5.770693e+00
3.200000e+00	3.400000e+00	4.736000e+01	4.218542e+00	4.218542e+00
3.400000e+00	3.600000e+00	3.409000e+01	3.149333e+00	3.149333e+00
3.600000e+00	3.800000e+00	2.613000e+01	2.645052e+00	2.645052e+00
3.800000e+00	4.000000e+00	1.967000e+01	2.052462e+00	2.052462e+00
4.000000e+00	4.400000e+00	1.356000e+01	1.594208e+00	1.594208e+00
4.400000e+00	4.800000e+00	7.691000e+00	1.101242e+00	1.101242e+00
4.800000e+00	5.600000e+00	3.437000e+00	6.343367e-01	6.343367e-01
5.600000e+00	6.600000e+00	7.723000e-01	2.623595e-01	2.623595e-01
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2014_I1319490_EL/d25-x01-y02
LineColor=red
Path=/LHC.yoda/ATLAS_2014_I1319490_EL/d25-x01-y02
Title=[2]  0.04
# xlow	 xhigh	 val	 errminus	 errplus
4.000000e-01	6.000000e-01	7.717994e+00	1.627561e+00	1.627561e+00
6.000000e-01	8.000000e-01	9.486990e+00	1.759397e+00	1.759397e+00
8.000000e-01	1.000000e+00	8.690996e+00	1.159681e+00	1.159681e+00
1.000000e+00	1.200000e+00	8.301998e+00	1.162356e+00	1.162356e+00
1.200000e+00	1.400000e+00	9.150000e+00	1.264466e+00	1.264466e+00
1.400000e+00	1.600000e+00	9.846000e+00	1.504728e+00	1.504728e+00
1.600000e+00	1.800000e+00	1.249000e+01	1.737671e+00	1.737671e+00
1.800000e+00	2.000000e+00	1.490000e+01	1.843068e+00	1.843068e+00
2.000000e+00	2.200000e+00	1.863000e+01	2.205130e+00	2.205130e+00
2.200000e+00	2.400000e+00	2.433400e+01	2.758084e+00	2.758084e+00
2.400000e+00	2.600000e+00	3.222000e+01	3.636358e+00	3.636358e+00
2.600000e+00	2.800000e+00	4.329700e+01	4.232505e+00	4.232505e+00
2.800000e+00	3.000000e+00	5.683799e+01	5.200504e+00	5.200504e+00
3.000000e+00	3.200000e+00	6.903400e+01	5.794732e+00	5.794732e+00
3.200000e+00	3.400000e+00	4.741099e+01	4.247983e+00	4.247983e+00
3.400000e+00	3.600000e+00	3.409000e+01	3.149333e+00	3.149333e+00
3.600000e+00	3.800000e+00	2.613000e+01	2.645052e+00	2.645052e+00
3.800000e+00	4.000000e+00	1.968700e+01	2.069460e+00	2.069460e+00
4.000000e+00	4.400000e+00	1.356000e+01	1.594208e+00	1.594208e+00
4.400000e+00	4.800000e+00	7.691000e+00	1.101242e+00	1.101242e+00
4.800000e+00	5.600000e+00	3.437000e+00	6.343367e-01	6.343367e-01
5.600000e+00	6.600000e+00	7.723000e-01	2.623595e-01	2.623595e-01
# END HISTO1D

