# BEGIN PLOT
DrawOnly=/REF/CMS_2013_I1273574/d09-x01-y01 /ctest/mY_100_mX_1600/mY_100_mX_1600.yoda/CMS_2013_I1273574/d09-x01-y01 /THY/CMS_2013_I1273574/d09-x01-y01
Title=CMS, $\sqrt{s}$ = 7 TeV, Subleading soft jet $p_{T}$ in pp$\rightarrow$ 4j in $|\eta|<4.7$
RatioPlotReference=/REF/CMS_2013_I1273574/d09-x01-y01
RatioPlot=1
LogY=1
XLabel=$p_{T}$ [GeV]
MainPlot=1
YLabel=$d\sigma/dp_{T}\; [\text{pb}/GeV]$
Legend=1
RatioPlotYMin=1
FullRange=1
# END PLOT

# BEGIN HISTO1D /REF/CMS_2013_I1273574/d09-x01-y01
IsRef=1
LineColor=green
Path=/REF/CMS_2013_I1273574/d09-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	5.000000e+01	1.068706e+04	1.468363e+03	1.468363e+03
5.000000e+01	1.000000e+02	1.231196e+02	1.219497e+01	1.219497e+01
1.000000e+02	1.500000e+02	9.922068e-01	1.992764e-01	1.992764e-01
1.500000e+02	2.000000e+02	8.031143e-02	6.121768e-02	6.121768e-02
2.000000e+02	2.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e+02	3.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+02	3.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.800000e+02	4.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+02	5.100000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D /REF/CMS_2013_I1273574/d09-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2013_I1273574/d09-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	5.000000e+01	1.068706e+04	1.468363e+03	1.468363e+03
5.000000e+01	1.000000e+02	1.231196e+02	1.219497e+01	1.219497e+01
1.000000e+02	1.500000e+02	9.922068e-01	1.992764e-01	1.992764e-01
1.500000e+02	2.000000e+02	8.031143e-02	6.121768e-02	6.121768e-02
2.000000e+02	2.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e+02	3.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+02	3.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.800000e+02	4.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+02	5.100000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D /ctest/mY_100_mX_1600/mY_100_mX_1600.yoda/CMS_2013_I1273574/d09-x01-y01
LineColor=red
Path=/ctest/mY_100_mX_1600/mY_100_mX_1600.yoda/CMS_2013_I1273574/d09-x01-y01
Title=[4]  0.38
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	5.000000e+01	1.072473e+04	1.470351e+03	1.470351e+03
5.000000e+01	1.000000e+02	1.243159e+02	1.246942e+01	1.246942e+01
1.000000e+02	1.500000e+02	1.118133e+00	2.883200e-01	2.883200e-01
1.500000e+02	2.000000e+02	8.031143e-02	6.121768e-02	6.121768e-02
2.000000e+02	2.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e+02	3.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+02	3.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.800000e+02	4.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+02	5.100000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

