# BEGIN PLOT
DrawOnly=/REF/CMS_2013_I1273574/d07-x01-y01 /ctest/mY_1600_mX_1600/mY_1600_mX_1600.yoda/CMS_2013_I1273574/d07-x01-y01 /THY/CMS_2013_I1273574/d07-x01-y01
Title=CMS, $\sqrt{s}$ = 7 TeV, Leading soft jet $p_{T}$ in pp$\rightarrow$ 4j in $|\eta|<4.7$
RatioPlotReference=/REF/CMS_2013_I1273574/d07-x01-y01
RatioPlot=1
LogY=1
XLabel=$p_{T}$ [GeV]
MainPlot=1
YLabel=$d\sigma/dp_{T}\; [\text{pb}/GeV]$
Legend=1
RatioPlotYMin=1
FullRange=1
# END PLOT

# BEGIN HISTO1D /REF/CMS_2013_I1273574/d07-x01-y01
IsRef=1
LineColor=green
Path=/REF/CMS_2013_I1273574/d07-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	5.000000e+01	8.827970e+03	1.230486e+03	1.230486e+03
5.000000e+01	1.000000e+02	1.190714e+03	1.350858e+02	1.350858e+02
1.000000e+02	1.500000e+02	2.536864e+01	2.639366e+00	2.639366e+00
1.500000e+02	2.000000e+02	2.396400e+00	3.488883e-01	3.488883e-01
2.000000e+02	2.600000e+02	1.772851e-01	5.431203e-02	5.431203e-02
2.600000e+02	3.200000e+02	2.217931e-02	1.209391e-02	1.209391e-02
3.200000e+02	3.800000e+02	0.000000e+00	2.941143e-02	2.941143e-02
3.800000e+02	4.400000e+02	0.000000e+00	4.894021e-03	4.894021e-03
4.400000e+02	5.100000e+02	0.000000e+00	7.756104e-07	7.756104e-07
# END HISTO1D


# BEGIN HISTO1D /REF/CMS_2013_I1273574/d07-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2013_I1273574/d07-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	5.000000e+01	8.827970e+03	1.230486e+03	1.230486e+03
5.000000e+01	1.000000e+02	1.190714e+03	1.350858e+02	1.350858e+02
1.000000e+02	1.500000e+02	2.536864e+01	2.639366e+00	2.639366e+00
1.500000e+02	2.000000e+02	2.396400e+00	3.488883e-01	3.488883e-01
2.000000e+02	2.600000e+02	1.772851e-01	5.431203e-02	5.431203e-02
2.600000e+02	3.200000e+02	2.217931e-02	1.209391e-02	1.209391e-02
3.200000e+02	3.800000e+02	0.000000e+00	2.941143e-02	2.941143e-02
3.800000e+02	4.400000e+02	0.000000e+00	4.894021e-03	4.894021e-03
4.400000e+02	5.100000e+02	0.000000e+00	7.756104e-07	7.756104e-07
# END HISTO1D


# BEGIN HISTO1D /ctest/mY_1600_mX_1600/mY_1600_mX_1600.yoda/CMS_2013_I1273574/d07-x01-y01
LineColor=red
Path=/ctest/mY_1600_mX_1600/mY_1600_mX_1600.yoda/CMS_2013_I1273574/d07-x01-y01
Title=[7]  0.03
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	5.000000e+01	8.827976e+03	1.230486e+03	1.230486e+03
5.000000e+01	1.000000e+02	1.190718e+03	1.350859e+02	1.350859e+02
1.000000e+02	1.500000e+02	2.537066e+01	2.639447e+00	2.639447e+00
1.500000e+02	2.000000e+02	2.397419e+00	3.489458e-01	3.489458e-01
2.000000e+02	2.600000e+02	1.778830e-01	5.435225e-02	5.435225e-02
2.600000e+02	3.200000e+02	2.257972e-02	1.212682e-02	1.212682e-02
3.200000e+02	3.800000e+02	1.785617e-04	2.943341e-02	2.943341e-02
3.800000e+02	4.400000e+02	5.681505e-05	4.906419e-03	4.906419e-03
4.400000e+02	5.100000e+02	1.623287e-05	6.911059e-06	6.911059e-06
# END HISTO1D

